feature,beta,lambda
ms_subclass_70,0.0012201784083729348,-33.3338489735874
ms_subclass_120,-0.0,-21.11130043194251
ms_subclass_85,0.0,-63.334312257835606
ms_subclass_30,0.013427150689055745,-33.33384847310637
ms_subclass_75,-0.0,-180.95517238204494
ms_subclass_45,0.006749962247484367,-180.95517238204494
ms_subclass_40,0.0002945471941752233,-633.3431230165268
ms_subclass_90,-0.0,-37.25547729759103
ms_zoning_RL,0.0,5.7375925954182145
ms_zoning_RM,-0.014146108225624227,-8.537375452529103
ms_zoning_FV,0.0,-33.33384847360863
ms_zoning_C (all),-0.006755620743460341,-211.11437729111202
ms_zoning_RH,0.0,-97.4374047275754
neighborhood_Sawyer,-0.0,-31.66715638433183
neighborhood_SawyerW,-0.005478824488610448,-33.33384847360863
neighborhood_NAmes,-0.0011032778351406061,-9.433777278706126
neighborhood_Timber,0.002265675062477629,-52.77859510190768
neighborhood_Edwards,-0.03080393647582645,-25.333713654406264
neighborhood_OldTown,-0.0,-16.665071338644356
neighborhood_BrDale,0.014152784023255595,-115.15329322858341
neighborhood_CollgCr,-0.0,-14.553503946101886
neighborhood_Somerst,0.06901941622952112,-24.3593310562541
neighborhood_Mitchel,-0.0,-39.583944578562296
neighborhood_StoneBr,0.03162761141975329,-97.4374047275754
neighborhood_NridgHt,0.06928312206795645,-28.78832251325641
neighborhood_Gilbert,-0.010643428259378406,-25.85073244157835
neighborhood_Crawfor,0.036608575460699164,-39.58394634950188
neighborhood_Veenker,0.019655840112868923,-180.95517238204494
neighborhood_MeadowV,0.0,-97.4374047275754
neighborhood_NWAmes,-0.011555721850081035,-28.78832251325641
neighborhood_SWISU,-0.0,-79.16789330048344
neighborhood_NoRidge,0.06424740097861734,-55.07331661760002
neighborhood_ClearCr,0.014128418085988415,-74.51095344383819
neighborhood_Blmngtn,0.006270226554060143,-211.11437729111202
neighborhood_IDOTRR,-0.0,-52.778595138402785
neighborhood_BrkSide,0.018639347783051985,-39.58394634950188
neighborhood_NPkVill,0.007803959884603495,-211.11436791766656
neighborhood_Blueste,0.0,-316.6715569105175
neighborhood_Greens,0.0,-253.3372528623204
neighborhood_Landmrk,-0.0,8.472135811722177
neighborhood_GrnHill,0.029076649164903642,8.472135811722177
paved_drive_Y,0.005094428273818569,14.387464115771241
paved_drive_N,-0.0,-19.48712239858897
paved_drive_P,-0.0,-55.07331661760002
pool_qc_nan,-0.0,316.6715771412753
roof_matl_CompShg,0.0,74.51096117858536
roof_matl_Tar&Grv,-0.014531505094597,-158.33578510227392
roof_matl_WdShake,0.0,-253.33724916607196
roof_style_Hip,-0.0,-8.109925985788605
roof_style_Flat,-0.0,-180.95517238204494
roof_style_Mansard,-0.0024598824546931486,-316.67156772267623
roof_style_Gambrel,0.009153338904587456,-126.66862613831512
roof_style_Shed,-0.0,-633.3431427254101
sale_type_WD ,-0.0,10.237686033144225
sale_type_New,0.007067359837224077,-16.23720068202968
sale_type_COD,-0.014605144820660613,-52.77859510190768
sale_type_ConLD,0.0007576189796734843,-140.74291397430974
sale_type_Con,0.007985800940657248,-1266.6861899793173
sale_type_Oth,0.008855971502345954,-422.22874002997213
sale_type_CWD,0.004001820354569979,-633.3431231130663
sale_type_ConLw,-0.002498967418460912,-422.2287400299161
sale_type_ConLI,0.0,-633.3431230165268
street_Grvl,-0.0028536611617679627,-253.33724541652555
utilities_AllPub,0.006271533412198686,521.0260293368128
year_month_2010-3,-0.0,-97.43740844749091
year_month_2009-4,-0.017007463569937008,-115.15329322858341
year_month_2010-1,-0.0,-126.66862613491034
year_month_2010-4,0.0,-63.334312257835606
year_month_2006-6,0.005143185920131122,-39.58394516446735
year_month_2010-5,0.007156864371749117,-48.71870292776064
year_month_2007-6,-0.0,-55.073315679649916
year_month_2008-7,0.0,-42.22287536746991
year_month_2006-2,-0.0083832403024395,-253.3372528623204
year_month_2008-12,-0.007694763715850161,-422.2287400299161
year_month_2008-6,0.0,-42.2228737696129
year_month_2008-5,0.0005063608527787551,-43.67883610307092
year_month_2009-6,-0.010847502130861802,-32.47913387016066
year_month_2007-4,0.0,-90.47759188627992
year_month_2010-6,-0.004032071702202252,-43.67883533959896
year_month_2007-5,0.0,-36.191036154747636
year_month_2009-10,0.0,-97.4374047275754
year_month_2006-7,-0.0,-30.894787181602425
year_month_2007-7,0.0056550815285844845,-35.185728026413166
year_month_2006-4,-0.0008276214049310668,-105.55718694447253
year_month_2009-9,0.0,-84.4457521809643
year_month_2007-9,-0.0,-90.4775918862791
year_month_2009-7,0.0,-36.1910350834237
year_month_2008-11,-0.002429051188979432,-158.33578561328466
year_month_2008-2,-0.0012792388657687026,-158.33578275375405
year_month_2008-10,-0.018753979275027036,-79.16789330229813
year_month_2009-12,-0.004007670979526757,-316.6715569105175
year_month_2006-3,0.0,-79.16788931015319
year_month_2007-12,0.01152190183295465,-90.47758652986508
year_month_2008-4,0.000987342856353267,-90.47758517014222
year_month_2009-8,0.0,-79.16789048364393
year_month_2007-2,-0.0,-633.3431230825142
year_month_2009-3,-0.0,-90.4775918862791
year_month_2007-1,-0.0,-158.3357827537426
year_month_2007-8,-0.0,-66.66769901686087
year_month_2009-5,-0.005207271573349438,-50.66744925229053
year_month_2009-11,-0.004658912125307566,-105.5571885137829
year_month_2007-10,-0.0,-158.33578510227392
year_month_2006-10,-0.0015185795181270872,-105.55718538927016
year_month_2006-5,-0.0,-55.07331567373945
year_month_2008-9,0.0006021457545371793,-97.4374047275754
year_month_2007-11,0.0,-126.66862425644422
year_month_2006-8,0.002021010898137257,-84.4457521809643
year_month_2008-8,0.0,-79.1678916553387
year_month_2010-7,0.0,-316.6715569105175
year_month_2008-3,-0.0,-140.74291397430974
year_month_2009-2,0.004943394188455397,-140.7429185116776
year_month_2006-1,0.003138380735498837,-211.11437414836806
year_month_2006-9,0.0,-126.66862613491034
year_month_2009-1,-0.003449018397283058,-140.74291397430974
year_month_2007-3,-0.0012592657573981096,-105.5571885137829
year_month_2008-1,0.006035943599162667,-115.15329119509073
year_month_2006-12,0.008145442361337598,-253.3372528623204
year_month_2006-11,0.0,-126.66862800925915
yr_sold_2010,0.0,-11.811211709865331
yr_sold_2009,-0.0,-5.813213488908572
yr_sold_2006,0.0,-6.416942438468684
yr_sold_2007,-0.0,-6.086528014148236
yr_sold_2008,0.0,-6.416942438251007
